feature,importance_mean,importance_std
remaining_steps,1.2982333864990743,0.016694515027683175
time_window_tightness,0.36715359096225675,0.013093752335776533
speed_limit_kmph,0.1006015798959739,0.008029096340501958
traffic_index,0.06159826115636753,0.0029195430056453858
rain_intensity,0.0532161280307869,0.0021260561260159185
traffic_state,0.041037083849566905,0.0006694614019299978
road_risk_index,0.03253579831422394,0.0009729360056869591
dispatch_delay_min,0.0288914255049497,0.0010412417269693298
visibility_km,0.007415079578717354,0.0009084572949766862
vehicle_efficiency_index,0.0053008146027268225,0.00010686140866902191
vehicle_age_years,0.0052229521983175094,0.0002478882405660254
dow,0.004244430764694151,7.543571863061951e-05
hour,0.0037639955973308046,8.543842462980588e-05
road_grade_index,0.003231785687523814,0.00014004146238400737
zone,0.0028397849722147763,0.00016548110583512277
vehicle_id,0.002229213283008546,9.285105890427875e-05
roadworks_indicator,0.001394167022488968,7.572988814632316e-05
vehicle_type,0.0010749877395087703,1.468366531947772e-05
intersection_density,0.001031167922140408,5.1867007455789034e-05
prior_reward_primary,0.0004959906851913388,3.0978815044221134e-05
