policy,iteration,mean_abs_q_change
logged_behavior,0,4.15659927302953
logged_behavior,1,3.1277933682076275
logged_behavior,2,2.4365600360823616
logged_behavior,3,1.7997037499477944
logged_behavior,4,1.414684558722765
logged_behavior,5,1.024754451964661
logged_behavior,6,0.790400987291439
logged_behavior,7,0.5998649746918134
logged_behavior,8,0.5142073177620227
logged_behavior,9,0.46468669486005204
always_eco,0,4.640930419945334
always_eco,1,3.478127101970526
always_eco,2,2.7228535823700653
always_eco,3,2.022985098924119
always_eco,4,1.6663095721479064
always_eco,5,1.1797530585696918
always_eco,6,0.832966961568406
always_eco,7,0.7481137350761609
always_eco,8,0.5767265990315898
always_eco,9,0.48991533569043577
never_eco,0,4.15659927302953
never_eco,1,3.1277933682076275
never_eco,2,2.4365600360823616
never_eco,3,1.7997037499477944
never_eco,4,1.414684558722765
never_eco,5,1.024754451964661
never_eco,6,0.790400987291439
never_eco,7,0.5998649746918134
never_eco,8,0.5142073177620227
never_eco,9,0.46468669486005204
heuristic_risk_rule,0,4.264580449481234
heuristic_risk_rule,1,3.0723636226236724
heuristic_risk_rule,2,2.508989204429912
heuristic_risk_rule,3,1.7778240071404614
heuristic_risk_rule,4,1.6953585671879714
heuristic_risk_rule,5,1.1692807618793903
heuristic_risk_rule,6,0.7487326281197095
heuristic_risk_rule,7,0.5665540207810564
heuristic_risk_rule,8,0.6586519244989597
heuristic_risk_rule,9,0.5856669402933172
non_causal_fqi,0,4.224459578076877
non_causal_fqi,1,3.1705725295895664
non_causal_fqi,2,2.520694021353399
non_causal_fqi,3,1.841838117468097
non_causal_fqi,4,1.3989990494610154
non_causal_fqi,5,1.0265386588655718
non_causal_fqi,6,0.8043485595847706
non_causal_fqi,7,0.6805002004296692
non_causal_fqi,8,0.5840608576835206
non_causal_fqi,9,0.41834160966503275
causal_fqi,0,4.105694342557358
causal_fqi,1,3.047660833701027
causal_fqi,2,2.4744786856328314
causal_fqi,3,1.7654265813015675
causal_fqi,4,1.3326664730753683
causal_fqi,5,0.9483044464450622
causal_fqi,6,0.6997541044249876
causal_fqi,7,0.7048291996483891
causal_fqi,8,0.6297996414683811
causal_fqi,9,0.3907934742603407
causal_no_history_fqi,0,4.107821267101241
causal_no_history_fqi,1,3.0252577463652774
causal_no_history_fqi,2,2.3820519430685527
causal_no_history_fqi,3,1.7987960049140828
causal_no_history_fqi,4,1.4101806192558177
causal_no_history_fqi,5,1.0002214042651503
causal_no_history_fqi,6,0.690459894831291
causal_no_history_fqi,7,0.5507220545821884
causal_no_history_fqi,8,0.4855020691070188
causal_no_history_fqi,9,0.389464065538981
causal_no_vehicle_id_fqi,0,4.105518581891401
causal_no_vehicle_id_fqi,1,3.0286368984930117
causal_no_vehicle_id_fqi,2,2.3953589614370747
causal_no_vehicle_id_fqi,3,1.7679966190052812
causal_no_vehicle_id_fqi,4,1.356409646377566
causal_no_vehicle_id_fqi,5,0.9398306791670524
causal_no_vehicle_id_fqi,6,0.6968978719602724
causal_no_vehicle_id_fqi,7,0.6357927826080052
causal_no_vehicle_id_fqi,8,0.45340167933576025
causal_no_vehicle_id_fqi,9,0.4053107225189263
minimal_fqi,0,4.361322400355683
minimal_fqi,1,3.197194442674793
minimal_fqi,2,2.7042649920589152
minimal_fqi,3,2.031508996007689
minimal_fqi,4,1.5773456992685753
minimal_fqi,5,0.9950469217763643
minimal_fqi,6,0.7713560519378118
minimal_fqi,7,0.654936894458193
minimal_fqi,8,0.5073765904067102
minimal_fqi,9,0.5372831997213101
