policy,policy_value_dr,policy_value_dr_ci_low,policy_value_dr_ci_high,policy_value_ips,policy_value_plugin,estimated_lateness_min,estimated_lateness_min_ci_low,estimated_lateness_min_ci_high,estimated_co2_kg,estimated_co2_kg_ci_low,estimated_co2_kg_ci_high,estimated_on_time,estimated_on_time_ci_low,estimated_on_time_ci_high,eco_rate,override_rate,fallback_rate
non_causal_fqi,-4.520690868651498,-4.707074399896758,-4.336142119670751,-4.184343608789038,-4.843138678047233,1.994812349686652,1.941783185947739,2.0673431935635316,3.734256630889765,3.7262146756595005,3.743176285244717,0.8178883064363414,0.8136374589570381,0.8212115737224256,0.4900420757363254,0.2532959326788219,0.47650771388499297
heuristic_risk_rule,-4.63770390236778,-4.78699654047144,-4.4996588492801655,-4.754386215580872,-4.806007237396387,1.9655050682637265,1.9048907316258794,2.021012808118671,3.7118849454643983,3.7038713642325156,3.7205119505378264,0.8170522458713028,0.8135539362734007,0.8210874668198884,0.6,0.4894810659186536,0.0
causal_no_vehicle_id_fqi,-4.670348275548825,-4.846986011227726,-4.486465246620551,-4.263002501600034,-4.833723390339195,1.9845570170587885,1.9191282366003313,2.0415738530366716,3.735822275547812,3.7269405750956586,3.7442004503298905,0.8181194416466115,0.8144295096261075,0.8219930500941728,0.4829593267882188,0.2497194950911641,0.4800140252454418
causal_no_history_fqi,-4.686701593289247,-4.862471551008446,-4.501942391128828,-4.286738200150217,-4.832476711415686,1.9836299382798521,1.9255757404752696,2.051510689918096,3.734882720579832,3.7265504770931885,3.7435366001788175,0.8181112025739162,0.813856191663697,0.8219318022242551,0.48632538569424966,0.25112201963534364,0.4750350631136045
never_eco,-4.692417954637327,-4.890973358244751,-4.517375847320646,-4.691244035616367,-4.773783473981008,1.8879995412064905,1.8270386168938688,1.9461599144567734,3.8462128412749417,3.8378675337966346,3.8556581615597136,0.821627765575071,0.8177763010472584,0.8257154903028564,0.0,0.5740532959326788,0.0
causal_fqi,-4.6940920810855244,-4.88560617494938,-4.529860285470859,-4.288815809850753,-4.831580129800899,1.982181055767413,1.9191952261213021,2.047587085463126,3.736839525028662,3.7286578941756607,3.7448858032261496,0.8182224757545269,0.8139561786163524,0.8219319320262708,0.47784011220196354,0.25834502103786816,0.4659186535764376
minimal_fqi,-4.810388211039625,-4.988181972639592,-4.601393371642169,-4.423082043165765,-4.870075467039217,2.0207099673354523,1.956649371936769,2.08349595351602,3.7365360475282445,3.728107271070465,3.744347820770907,0.8173281748519308,0.8133424315851573,0.8211435146789324,0.4826086956521739,0.2129032258064516,0.5507012622720897
logged_behavior,-4.82581953473445,-5.0553059255518225,-4.577199240669998,-4.870164784438304,-4.937245783922881,2.0941986143577993,2.030512203759359,2.16676050197026,3.715819593573729,3.707062728588792,3.724269003037732,0.8159836429898482,0.8120461457719551,0.8198425477025876,0.5740532959326788,0.0,0.0
always_eco,-5.061007948717759,-5.22099103942868,-4.914050238562683,-5.065859585642069,-5.091068678562508,2.279020561153626,2.209820174135193,2.346305837026336,3.618228833199939,3.6097798555552094,3.6269107657812674,0.8114486440600904,0.8075901198139478,0.8156146059262435,1.0,0.42594670406732116,0.0
